,Company,Position,Connected On,Full Name,Latitude,Longitude
253,TQS - Escritório Individual de Advocacia,Advogado,12 Oct 2020,Gregory Williams,-15.8352486,-47.86391589999999
254,Universidade Federal do Rio de Janeiro,Voluntário de Iniciação Científica na CNPq,10 Oct 2020,Bethany Mendez,-22.8625345,-43.2234737
255,AngelLira Rastreamento Satelital,Analista Desenvolvedor,09 Oct 2020,Scott Villegas,-27.0980309,-52.6037259
256,Setup Automação - Soluções em automação Industrial desde 1996,Técnico em Automação Industrial,09 Oct 2020,Donald Morgan,-22.936951,-47.068452
257,FIA Business School,Professor colaborador,09 Oct 2020,Tiffany Pennington,33.4860616,-112.134725
258,Oracle,Data scientist,09 Oct 2020,Jennifer Smith,36.3612928,-94.1827873
259,Cencosud S.A.,Analista de risco operacional,09 Oct 2020,Lisa Sanchez,3.511339500000001,-76.51226849999999
260,MAX3D,CEO,09 Oct 2020,Crystal Mendoza,,
261,Ajudapet.org,CEO,09 Oct 2020,Charles Cook,-20.3424632,-40.2882338
262,Hospital Estadual Mário Covas,Segurança,07 Oct 2020,Wayne Flowers,-23.6709183,-46.5331357
263,Metrô de São Paulo,Operation Engineer,07 Oct 2020,Lisa Rivera,-23.5500991,-46.633321
264,Avanade,"Sr Anls, Analytics Experience",06 Oct 2020,Shannon Hoffman,32.8706656,-96.93789869999999
265,"Secretaria de Mineração, Indústria, Comércio, Ciência e Tecnologia ",Estagiário ,06 Oct 2020,Ryan Gonzalez,-6.066669399999999,-49.9041402
266,Prefeitura do Rio de Janeiro,Subsecretario Geral Executivo,05 Oct 2020,Sandra Rogers,-22.9112346,-43.2057487
267,Petrobras,Engenheiro de produção - Gerente Setorial,05 Oct 2020,Maria Castillo,29.7279912,-95.5555577
268,Safeweb Segurança da Informação,Analista de suporte técnico,05 Oct 2020,Dorothy Fletcher,-30.0466661,-51.20577600000001
269,GEBank/1Driver/Comdesconto,CEO,05 Oct 2020,Keith Wagner,,
270,HFocus,Head of Data Science,05 Oct 2020,John Hill,46.7319225,-117.1542121
271,Senior Sistemas,Analista de Suporte I,05 Oct 2020,Tammy Duncan,34.382648,-83.862887
272,Taqtile Brasil,Co-Founder,05 Oct 2020,Stephen Miller,-23.5455809,-46.6817487
273,Somar ,Gerente Comercial,05 Oct 2020,Tamara Pena,37.80733060000001,-122.2703688
274,Icaro Tech,Data Scientist,05 Oct 2020,Steven Nguyen,25.7722103,-80.1869043
275,Audasi ,Desenvolvedor,03 Oct 2020,Alan Berry,-22.9771056,-43.1900122
276,Creditas,Business Analyst Jr.,02 Oct 2020,Michael Jones,50.2303003,12.868645
277,IcompSoft Sistemas de Informação LTDA,"Co Founder, Diretor",01 Oct 2020,Terri Hancock,-26.0813065,-53.0529756
278,Suzano,Técnico de logística II,01 Oct 2020,Robin Adams,26.2060507,-80.136991
279,Indra,Project Leader,01 Oct 2020,Benjamin Clark,40.0362122,-105.2277543
280,Agrotis Agroinformática,Analista de sistemas,01 Oct 2020,Theresa Garcia,-25.4276716,-49.26652199999999
281,Magazine New,Gerente financeiro,01 Oct 2020,Laura Black,36.7479068,-95.9761115
282,Reali Studio,Proprietário,01 Oct 2020,Gabriela Reynolds,37.562112,-122.2860348
283,MAGNA SISTEMAS,Analista Big Data Jr.,30 Sep 2020,Brandy Golden,32.934935,-97.2454224
284,Salt RH,Cientista de dados pleno,29 Sep 2020,Lance Hamilton,40.7681356,-111.8917073
285,Tata Consultancy Services,Data Specialist,29 Sep 2020,Joseph Burns,36.3629588,-94.21595900000001
286,Genesis Sistemas & Inteligência Artificial,CEO,29 Sep 2020,Jerry Hughes,29.7045986,-95.8498707
287,Voxiva Perú,Junior Data Scientist,29 Sep 2020,Samantha Harris,-12.1453468,-77.02193559999999
288,Prefeitura Municipal de Mallet,Auxiliar Administrativo,29 Sep 2020,Briana Berger,-25.884008,-50.826448
289,Gmobil Sistemas,Desenvolvedor,29 Sep 2020,Juan Morrow,37.031874,-94.478875
290,Unimed Curitiba,Analista de Regulação em Saúde,28 Sep 2020,Shawn Coleman,-25.4251148,-49.2281754
291,Ipiranga Produtos De Petroleo,Analista de laboratório,28 Sep 2020,Philip Cook,-18.9975096,-48.395757
292,Datatype,System Analyst,25 Sep 2020,Karen Brown,37.5539752,-122.306323
293,Universidade do Estado do Rio Grande do Norte,Assistant Professor,25 Sep 2020,James Cox,-5.573772099999999,-36.9090367
294,Prepara Cursos - SJP,Gerente Comercial e Marketing,24 Sep 2020,Christina Thomas,-25.5355013,-49.2042187
295,Passalacqua & Cia Ltda,TI - Infraestrutura,24 Sep 2020,Angela Raymond,-16.7897497,-49.257135
296,Prefeitura Municipal de Ilha Solteira,Estagiário em Desenvolvimento de Software,24 Sep 2020,Raymond Diaz,-20.4265546,-51.3441743
297,FitBank Pagamentos Eletrônicos,Project Development Coordinator,24 Sep 2020,Kim Waller,-23.5807626,-46.6840856
298,FACIT - Faculdade de Ciências do Tocantins,Diretor Executivo,24 Sep 2020,William Jackson,-7.199863400000001,-48.2710674
299,Amvian Indústria e Comércio de Peças Automotivas,Líder de qualidade,23 Sep 2020,Gary Ingram,-23.1065387,-46.505049
300,CEPEM,Líder de Planejamento e  Controle Operacional,22 Sep 2020,Shannon Campbell,18.5604986,-72.2945739
301,Reclame Aqui,Technical Account Manager,22 Sep 2020,Diane Whitehead,40.741861,-73.989592
302,QSdoBrasil,Gestão de projetos,22 Sep 2020,Laura Valenzuela,-23.4993289,-46.637764
303,Freelancer,3D Artist,22 Sep 2020,Sandy Duffy,43.647375,-79.39816379999999
304,4Tune.ai,Data Science Intern,22 Sep 2020,Christopher Jones,,
305,Meritt - Cada aluno é único,Consultor em Arquitetura de Software ,22 Sep 2020,April Walker,-27.5888491,-48.5080568
306,Sicredi,Gerente de Negócios / Investimentos,22 Sep 2020,Sherry Johnson,-2.4254165,-54.7276507
307,PwC,"Finance Manager, Controller",22 Sep 2020,Rachel Smith,36.1399226,-94.1809318
308,Vórtx,Solutions Architect,22 Sep 2020,Emily Ramos,42.1859122,-122.6733934
309,EDICOM,International Account Manager,21 Sep 2020,Samantha Smith,40.7056685,-74.00609589999999
310,BTG Pactual digital,Data Scientist,21 Sep 2020,Monica Dixon,-23.5864794,-46.68207839999999
311,Centro de Excelência em Inteligência Artificial (CExIA) & Deep Learning Brasil,Researcher,21 Sep 2020,Lindsay Ross,,
312,Monitora Soluções Tecnológicas,Estagiário,21 Sep 2020,Larry Griffin,-22.0050587,-47.9040081
313,Sensorweb,Suporte & Operação,21 Sep 2020,Melanie George,33.7550439,-84.3896288
314,Inglês Particular,English Teacher,21 Sep 2020,Megan Aguirre,32.5220856,-117.1139033
315,Hypera Pharma,Analista BI - SR,20 Sep 2020,Ashley Miller,-16.6159905,-49.2645235
316,tembici.,Data Scientist,20 Sep 2020,Katherine Walter,-8.0515907,-34.8785749
317,Wenovity,Computer Vision Engineer ,19 Sep 2020,Amy Mcneil,,
318,Repom S.A.,Assistente de produtos II,19 Sep 2020,Crystal Paul,-23.5022189,-46.8511912
319,Hey Kid Health,Founder,19 Sep 2020,Kim Knight,41.99269899999999,-88.145928
320,GreenMile,Cientista de Dados jr,19 Sep 2020,Christina Mcmillan,28.4796332,-81.3121948
321,Instituto Água e Terra,Engenheiro Cartógrafo,18 Sep 2020,Monica Freeman,-25.4409532,-49.2578104
322,Grupo Portfolio,Consultor de Desenvolvimento de Negócios,18 Sep 2020,Kelly Clark,-3.7359138,-38.4900565
323,MAGNA SISTEMAS,Trainee Data Science | Big Data | Artificial Inteligence,17 Sep 2020,Michelle Lane,32.934935,-97.2454224
324,Autonomo,Profissional autônomo,17 Sep 2020,Joseph Jackson,41.975919,-87.712086
325,Anubis Corretora de Seguros,Diretor,16 Sep 2020,Kimberly Cook,-12.9195969,-38.35575499999999
326,Fundação Getulio Vargas,Especialista em Tecnologia Educacional,15 Sep 2020,William White,-22.9015133,-43.1769469
327,NANABOROK CONFECÇÃO ,Proprietário,14 Sep 2020,Brianna Tran,-22.1512344,-49.9590412
328,Gescon Solucoes,Consultora de Inteligência de Mercado,14 Sep 2020,Ricardo Jacobson,-12.9828586,-38.45515109999999
329,GAVB,Senior Data Scientist,14 Sep 2020,Jonathan Nguyen,-29.9198619,-51.1697768
330,Multivisi Comércio e Importação,Programador júnior,13 Sep 2020,Kelly Weaver,-3.7596754,-38.5392887
331,UBEC - União Brasileira de Educação Católica,Diretor Executivo de Operações do Grupo UBEC,11 Sep 2020,Frank Odom MD,-15.8225021,-48.00288390000001
332,MaxCar Serviços Mecânicos,Proprietário,11 Sep 2020,Dr. Gregory Brown,-23.1079171,-47.2113846
333,Stefanini Brasil,Senior Software Development Engineer,11 Sep 2020,Denise Singleton,37.541988,-77.4405724
334,Ibet ,Professor do Instituto Brasileiro de Estudos Tributarios (IBET) ,10 Sep 2020,Nicole Duffy MD,39.99368520000001,-83.0476556
335,Stone,Product Manager - Pricing,10 Sep 2020,Catherine Lane,37.06250000000001,-95.677068
336,ADVANCE Consulting,CEO,10 Sep 2020,Deborah Brown,41.8796763,-87.63560559999999
337,Recrutamento e Seleção,Proprietário,09 Sep 2020,Travis Mills,-9.615797899999999,-35.7344391
338,Universidade Tecnológica Federal do Paraná- Câmpus Londrina,Estagiário,08 Sep 2020,James Malone,-23.3075006,-51.1131833
339,Bradesco Cartões,Analista de inteligência de negócios,07 Sep 2020,Nathan Perez,-23.5487656,-46.7746204
340,Baymetrics Tecnologia,Process Technology Trainee,07 Sep 2020,Dana Kelly,-23.4927113,-46.8480458
341,Sistema FIERGS,Analista Corporativo Sênior,05 Sep 2020,Sabrina Brady,-29.9794396,-51.11187959999999
342,Genesys,Project Manager,05 Sep 2020,Gregory Ray,39.5651367,-104.8674599
343,Total Express,Coordenador de Operações,05 Sep 2020,Margaret Lopez,43.7012068,-79.62717959999999
344,Grupo Petrópolis,Analista de Inteligência Logística,05 Sep 2020,Mr. Mark Strong,-23.2636019,-47.6617677
345,SmartHint Technology LLC,Frontend Developer,04 Sep 2020,Frank Thompson,-25.433056,-49.283285
346,Thompson Management Horizons,Desenvolvedor da web,04 Sep 2020,Jerry Perry,39.1113895,-104.8485488
347,Pernambuco Radiadores,Proprietário,03 Sep 2020,Jennifer Cowan,-8.1747056,-34.9424782
348,Oi,Estagiário,03 Sep 2020,Mary Hodges,35.7688385,-95.3372809
349,Paddock Papelaria e Informática,Proprietário,01 Sep 2020,Preston Stephens,-23.6322231,-46.7003492
350,Universidade Paulista,Professor,01 Sep 2020,Jennifer Mcknight,-20.8432082,-49.4135354
351,EPEMA - EMPRESA PAULISTA DE EMBALAGENS AGROINDUSTRIAIS LTDA,extruso,01 Sep 2020,Jessica Johnson,-21.8238576,-48.1520637
352,Hospital Alemão Oswaldo Cruz,Medico Radiologista,31 Aug 2020,Allison Foster,-23.5692208,-46.6430118
353,EVOX TECHNOLOGY CORP,Desenvolvedor de Chatbot,31 Aug 2020,Meagan Lamb,33.849121,-118.223854
354,LLE Ferragens ltda - Ferragens Pisa,Analista de BI,31 Aug 2020,Jeremiah Lopez,-22.8678901,-43.2521695
355,Arquitetura Positiva Eireli,Sócio Diretor,31 Aug 2020,Maria Whitney,-22.3723284,-43.1271113
356,Pipolo Revestimentos,Proprietário da empresa,31 Aug 2020,Rebecca Rose MD,,
357,V2 Pesquisa e Análise de Mercado,Head Of Data Analysis,31 Aug 2020,Steven Smith,-23.4926302,-46.6316135
358,Unicorp Informática Industrial,Técnico de desenvolvimento de Software,31 Aug 2020,Jennifer Davies,41.3162743,-81.4649123
359,Hitachi ABB Power Grids,Power System Consultant Engineer,28 Aug 2020,Lori Rodriguez,35.773028,-78.676814
360,Refinaria Nacional de Sal S.A.,Assistente administrativo - Jovem Aprendiz ,28 Aug 2020,Derrick Obrien,-23.5688149,-46.647051
361,BairesDev,Machine Learning Engineer,27 Aug 2020,Amanda Dominguez,38.9349782,-77.1759708
362,Medium,Articulist,27 Aug 2020,James Thomas,38.91120790000001,-94.61304109999999
363,REASON - Grupo de Pesquisa em Avaliação de Risco em Sistemas Industriais e Naturais,Pesquisador de Mestrado,27 Aug 2020,Alexandra Davis,,
364,Autonômo,Consultor de TI,26 Aug 2020,Nicole Campbell,41.975919,-87.712086
365,C&A Brasil,Data Engineer,26 Aug 2020,Melissa Moore,-22.873636,-43.338021
366,ECOA PUCRIO,Estagiário,26 Aug 2020,Jacob Chen,-22.9795428,-43.2329454
367,Avibras,Engenheiro de desenvolvimento do produto Jr.,24 Aug 2020,Jacob Perry,-23.3209568,-45.81285949999999
368,EYEVISION Mídias Interativas,Founder e CEO,24 Aug 2020,Doris Williams,,
369,Loggi,Analista DBM,24 Aug 2020,Rachel Lee,39.262923,-74.645321
370,SpotPromo a serviço da LG Eletronics do Brasil LTDA    ,Instrutor de Treinamento – Telefonia ,24 Aug 2020,Jay Dunn,39.262923,-74.645321
371,Eletrobras,Analista Nivel Superior - Economista,24 Aug 2020,Kellie Jones,-3.1350144,-60.008731
372,Gerencianet,Analista de sistemas,24 Aug 2020,Lisa Cantrell,-23.5634382,-46.6547934
373,Dataminutes,Mentor e Consultor,23 Aug 2020,James Allen,,
374,Luby Software your way,DevOps Intern,23 Aug 2020,Jacqueline Rhodes,26.2877519,-80.2477775
375,Memora Processos Inovadores S/A,Desenvolvedor,23 Aug 2020,Richard Conrad,-15.789861,-47.91354399999999
376,Motorola Mobility (a Lenovo Company),Analista Financeiro,23 Aug 2020,Lauren Crawford,41.88852,-87.635448
377,Publicidade,Gerente de vendas MKT,23 Aug 2020,Sydney Hill,39.5518663,-8.9783362
378,Market & Business,Autonomous,22 Aug 2020,Dana Ortiz,36.0036661,-95.884394
379,ANPPD® - Associação Nacional dos Profissionais de Privacidade de Dados,Membro do comitê,22 Aug 2020,Karen Walker,-23.5250399,-46.6372982
380,Em busca de novos desafios!,Analista de TI ,22 Aug 2020,Renee Crawford,,
381,we distribuidora,Proprietário,21 Aug 2020,Melissa Meadows,-15.6518504,-56.1014462
382,Loggi,Desenvolvedor,21 Aug 2020,Brianna Allen,39.262923,-74.645321
383,UniTieup,Data Analyst ,21 Aug 2020,Shelby Sullivan,13.0132057,80.2327111
384,CIEE Centro de Integração Empresa Escola,Aluno estagiário,21 Aug 2020,Timothy George,43.6576434,-70.25097
385,Unimed Petrópolis,Supervisor de TI,20 Aug 2020,Bonnie Watson,-22.5048853,-43.1716963
386,Webdutos,Estagiário,20 Aug 2020,Jeff Whitehead,-23.0221581,-45.5512874
387,FAPESP,Scientific Initiation Researcher,18 Aug 2020,Jason Jackson,36.0014258,-78.9382286
388,Autônomo,Data Analyst,18 Aug 2020,Russell Burns,41.975919,-87.712086
389,Freelance,IT Consultant,17 Aug 2020,Carol Fry,38.1422606,-94.8137407
390,Grupo Educacional UNIS,Assistente de TI,17 Aug 2020,Rebecca Mendoza,-21.573116,-45.47834839999999
391,Paladin AI,Data Scientist,17 Aug 2020,Angela Watkins,32.9417555,-96.82295769999999
392,ICA Gruppen,Data Scientist,17 Aug 2020,David Morgan,40.8947334,-73.9425538
393,Université Paris 8,Data Scientist,17 Aug 2020,Brandon Wyatt,48.9447771,2.3629752
394,Stone,Engenheiro de dados Sênior,17 Aug 2020,Natasha Thompson,37.06250000000001,-95.677068
395,Stimmulus,Neuropsicopedagoga,15 Aug 2020,Catherine Hanson,34.0478539,-118.4395387
396,Huawei,DCO - Data Center Cloud Analyst,14 Aug 2020,David Flynn,37.3963241,-122.058367
397,Banco Itaú,Analista de Prevenção à Fraude,14 Aug 2020,Travis Lewis,25.7723394,-80.1877414
398,Supermercados Caetano,Desenvolvedor .Net,14 Aug 2020,Richard Clarke,-22.9623184,-46.9893379
399,Crypto ID® - Portal sobre Criptografia e Identificação Digital,Diretora de Conteúdo | Membro da ANPPD,14 Aug 2020,Nancy Green,-23.5479846,-46.65849859999999
400,Informa Markets - Brazil,Busines Intelligence Analyst,14 Aug 2020,Sheila Tran,-23.5655871,-46.7029226
401,Universidade do Estado de Minas Gerais,Professor,14 Aug 2020,Logan Black,-19.780733,-43.9487692
402,Loft,Data Scientist,13 Aug 2020,Phillip James,36.0633397,-95.88018079999999
403,Freelancer,FrontEnd Developer,12 Aug 2020,Jeremy Padilla,43.647375,-79.39816379999999
404,UFES - Universidade Federal do Espírito Santo ,Professor Universitário,12 Aug 2020,Andrea Brown,-20.2769549,-40.3046767
405,Goldman Sachs,Financial Crime Compliance Intern,10 Aug 2020,Amanda Walker,32.7876533,-96.7990344
406,Conductor,Developer Analyst II | Remote,10 Aug 2020,Paul Nelson,40.7463537,-73.9824982
407,Safetec Informatica,Diretor de Serviços e Inovação,10 Aug 2020,Mark Osborn,42.933803,-78.821812
408,Be2Consulting,Founder & Consultant,10 Aug 2020,Howard Santos,47.808651,-122.385714
409,Self-employed,Freelance Technical Writer,07 Aug 2020,Sydney Smith,41.53999109999999,-88.09929179999999
410,Itaú Unibanco,Client Risk and Suitability Analyst - WMS,06 Aug 2020,Kristen Navarro,25.7723394,-80.1877414
411,Trademaster Serviços e Participações SA,Analista de sistemas,06 Aug 2020,Morgan Hughes,,
412,IEEE Student Branch - UNESP Guaratinguetá,Vice-presidente,06 Aug 2020,Scott Herrera,-22.8030765,-45.1912525
413,EBDI - Enterprise Business Development & Information,Business Lover,06 Aug 2020,Steven Rocha,-7.0969468,-34.8375959
414, CNseg - Confederação Nacional das Seguradoras,Senior Systems Analyst | Product Owner,05 Aug 2020,Christopher Cox,-22.9099955,-43.1773699
415,Alpargatas S.A.,Analytics Manager,04 Aug 2020,Charles Oconnell,-22.4350337,-46.956561
416,Brasilprev Seguros e Previdência S.A,Desenvolvedora de back end,03 Aug 2020,Amanda Lee DVM,-21.1770738,-47.8095376
417,Sitel,Analista de suporte,01 Aug 2020,Charles Smith,35.1844253,-97.3978989
418,Grão Direto,Analista de dados e Desenvolvedor de software,01 Aug 2020,Sherry Hayes,-19.7483754,-47.9411937
419,CNPq - Conselho Nacional de Desenvolvimento Científico e Tecnológico,Pesquisador,01 Aug 2020,Brittany Morris,-15.8590676,-47.9270356
420,Parque Tecnológico Itaipu - Brasil ,Business Intelligence,31 Jul 2020,Autumn Palmer,-25.4362775,-54.5955769
421,LNCC,Bolsista de Iniciação Científica,31 Jul 2020,Ethan Washington,-22.529875,-43.2171745
422,Mult Consultoria Estratégica,Consultor,31 Jul 2020,Kevin Reilly,-5.7853824,-35.2062457
423,Senac MS,Consultor / Arquiteto de Software,31 Jul 2020,Nicole Black,-20.4677978,-54.6212771
424,TOTVS,Systems Developer Analyst,31 Jul 2020,Karen Gutierrez,37.4043887,-122.0770556
425,Scania Latin America,Senior Product and Quality Engineer,31 Jul 2020,Paul Lucero,-23.7127577,-46.5668296
426,VA Empreendimentos,Associate Founder,31 Jul 2020,Matthew Ramirez,28.3476273,-81.63214959999999
427,Vizentec S/A,Data Scientist,31 Jul 2020,Jennifer Mitchell,-16.750255,-49.322921
428,PROSP8 ComunicAtiva, IT and Agil Project Management Consultant,30 Jul 2020,Barbara Beck,,
429,Ipiranga Produtos de Petróleo,Analista de sistemas,30 Jul 2020,Laurie Bishop,-18.9975096,-48.395757
430,Siemens Energy,Programa de Desenvolvimento de Talentos,30 Jul 2020,Jason Reynolds,36.2225673,-95.27831080000001
431,TOTVS,Técnico de suporte,30 Jul 2020,Kyle Ward,37.4043887,-122.0770556
432,Votorantim,Engenheira de dados,30 Jul 2020,Nathaniel Jones,43.7100155,-79.35387349999999
433,Hospital Israelita Albert Einstein,Senior Data Scientist,29 Jul 2020,Nicole Myers,-23.5999606,-46.7152547
434,Hotmart,Data Scientist,29 Jul 2020,Lee Greene MD,25.4967024,-103.4035908
435,Secretaria de Estado da Saúde de Alagoas,Systems Analyst,29 Jul 2020,Matthew Wiley,-9.6701467,-35.7278242
436,RPSmart Sistemas,Analista de Suporte,28 Jul 2020,Danielle Powell,33.9638167,-84.11998349999999
437,Silimed Indústria de Implantes,Estagiário de Orçamento e Desempenho,28 Jul 2020,Sylvia George,-22.806303,-43.312304
438,MJV Technology & Innovation,User Experience Writer,28 Jul 2020,Olivia Russell,51.5009103,-0.1130874
439,Alstom Transport,Engenheiro de Sistemas,28 Jul 2020,Daniel Garcia,46.035152,-73.1285602
440,Machine Air,Data Scientist Júnior,28 Jul 2020,Christian Murray,36.1316391,-79.76113520000001
441,Vinícola Toscana,Estagiário,28 Jul 2020,Julia Cantrell,43.595557,11.3860055
442,KOMUH,Analista de BI,27 Jul 2020,Sarah Reid,-19.938831,-43.930019
443,TOTVS,Gerente de Projetos & Supply Chain,27 Jul 2020,Jorge Sanchez,37.4043887,-122.0770556
444,UNINASSAU,Professor,27 Jul 2020,Ryan Oliver,-10.925598,-37.0727014
445,B3,Analytics & Data Modeling,27 Jul 2020,Holly Durham,32.9991778,-96.90919939999999
446,Inteligencia de Negocios,Data Scientist Consultant,27 Jul 2020,Calvin Foster,44.8304543,-93.50427400000001
447,SVA Tech,Engenheiro de Visão Computacional,27 Jul 2020,Sue Hartman,40.7421459,-73.9955165
448,Raízen,Analista de Suporte Pl,27 Jul 2020,Philip Cole,29.7551426,-95.3632657
449,UENF - Universidade Estadual do Norte Fluminense,Bolsista Universidade Aberta,27 Jul 2020,Matthew Davis,-21.7620201,-41.2893524
450,CABAL BRASIL,Arquiteto de Soluções e Líder Técnico,27 Jul 2020,Amanda Glover,-15.7968316,-47.89044819999999
451,Itaú Unibanco,Analista de Validação de Modelos de Risco de Crédito,25 Jul 2020,Alisha Green DVM,25.7723394,-80.1877414
452,Procuradoria Geral da Fazenda Nacional,Estagiário de TI,25 Jul 2020,Albert Norton,-15.7962737,-47.8697143
453,Grupo Santa Casa BH,Cientista de dados,25 Jul 2020,Timothy Fitzgerald,-19.9238136,-43.9252798
454,Siemens Gamesa,HR & Global Mobility Intern at Siemens Gamesa,25 Jul 2020,Todd Buck,40.5831114,-91.426794
455,MAInd - Inteligência Artificial Aplicada,Co-Founder & CTO ,24 Jul 2020,Daniel Boyd,32.7719191,-117.188213
456,DataChemistry,Fundador,24 Jul 2020,Jacqueline Thompson,39.1052926,-84.4297926
457,PagSeguro UOL,Modeling and Risk Analyst,24 Jul 2020,Nicholas Marsh,-12.9124399,-38.4747625
458,Éstiam • École supérieure des technologies de l'information appliquées aux métiers,Consultant  Data Science / Formatrice Data,23 Jul 2020,Dana Smith,48.87558380000001,2.411106
459,LSL - Logística Sumaré LTDA ,Operador Logístico ,23 Jul 2020,Joshua Sullivan,-22.7741536,-47.1895301
460,Hypera,Analista de BI Sr.,23 Jul 2020,James Peters,55.6696359,21.1752437
461,"Grupo econômico no setor de alimentos, com atuação em atacado e varejo ","Analista de Suporte, Administração e Transporte",22 Jul 2020,Jill Thompson,,
462,CDHU - Companhia de Desenvolvimento Habitacional e Urbano do Estado de São Paulo,Consultor de BI,22 Jul 2020,Victoria Smith,-23.5461884,-46.6333324
463,VITTA,Front-end,22 Jul 2020,Madison Burnett,41.352164,-73.422153
464,Clicksign,Data Scientist (Python Developer),22 Jul 2020,Joanna Osborne,-23.5888867,-46.6813176
465,Novacki Papel e Embalagens S/A.,Analista de Sistemas Sênior,21 Jul 2020,Ashley Lawrence,-22.9522933,-47.2996902
466,IAD  Digital Artificial Intelligence  ,Digital Transformation Expert | Artificial Intelligence Strategist,21 Jul 2020,Laura Zhang,38.9010633,-77.03009879999999
467,Hidráulica & Pneumática,Trainee de engenharia,21 Jul 2020,Gerald Ramos,-23.5508714,-46.6041383
468,Centro Universitário UNA,Professor,21 Jul 2020,Jennifer Burgess,-19.9285969,-43.93786
469,Metrô de São Paulo,Operador de Transporte Metroviário II,20 Jul 2020,Justin Thompson,-23.5500991,-46.633321
470,Extreme Digital Solutions - EDS,Cientista de dados,20 Jul 2020,Shannon Cruz,40.880509,-74.2694641
471,desempregado,Desempregado,20 Jul 2020,Jacqueline Wong,-23.5404666,-46.6390985
472,Secretaria de Estado de Saúde de Minas Gerais,Técnico em Informática,20 Jul 2020,Denise Rowe,-19.7821785,-43.950924
473,ArcelorMittal,"Especialista em Governança, Riscos & Compliance",18 Jul 2020,Eric Evans,36.2236037,-95.7313992
474,Farm Solutions,Gerente de Sistemas TI,18 Jul 2020,William Smith,41.2332976,-95.4312372
475,"MODEC, Inc.",Data Scientist,18 Jul 2020,Deanna Davis,29.7839089,-95.64711679999999
476,Agroicone,Pesquisadora,17 Jul 2020,Nathan Ellis,-23.5536912,-46.6617237
477,Empresa Delírio Tropical ,Analista de suporte,17 Jul 2020,Matthew Hernandez,-23.0028614,-43.3216711
478,Maxicon Sistemas,Oracle Forms Developer,16 Jul 2020,Lindsey Jenkins,-24.720728,-53.7430418
479,CESAR,Coordinator of Technology and Education,16 Jul 2020,Kelly Johnson,37.8796747,-122.2689712
480,UFBA - Universidade Federal da Bahia,Coordenador técnico,16 Jul 2020,Denise Vargas,-13.003676,-38.5100127
481,Smart Consulting,IT Consultant / Quality Assurance,15 Jul 2020,Mr. David Mendoza,35.4884897,-97.53145819999999
482,Lambda3,Cientista de Dados | Inteligência Artificial,15 Jul 2020,Roger Rodriguez,-23.5522477,-46.66129309999999
483,Agrotis ,Analista de Implantação SAP B1,15 Jul 2020,Anthony Myers,53.6842842,16.7029153
484,Caterpillar Inc.,Quality Intern,15 Jul 2020,Phillip Sawyer,36.8890774,-91.9116586
485,Valid S.A.,Coordenador de Operações,14 Jul 2020,James Parker,34.1834641,-118.5969083
486,Araguaia Sistemas Ltda,Engenheiro de software,14 Jul 2020,Sean Robinson,-16.6776299,-49.3073293
487,ContaJÁ Contabilidade Online,Sócio - Diretor,14 Jul 2020,Mrs. Laurie Jones,-23.5447896,-46.5739165
488,Total Express,Especialista de processos logisticos,13 Jul 2020,Erika Tran,43.7012068,-79.62717959999999
489,Consultorias,Cientista de Dados e Consultor ERP,13 Jul 2020,Brenda Baker,28.654329,-106.1025578
490,Universidade do Contestado,Professor,13 Jul 2020,Maria Gates,35.9049122,-79.0469134
491,Invillia,Java | Kotlin Developer,13 Jul 2020,Christine Martinez,-21.8049737,-48.1736809
492,GAVB,Cientista de dados,13 Jul 2020,Susan Wiggins,-29.9198619,-51.1697768
493,Kumulus,Data Engineer and Analytics ,13 Jul 2020,Benjamin Miller,36.1312898,-115.1101589
494,Base/iD,Product Owner,13 Jul 2020,Nathan Acosta,35.4308384,-97.392798
495,Imagem – Soluções de Inteligência Geográfica,Cientista de Dados Júnior,13 Jul 2020,Candace Martinez,-23.1953315,-45.88087549999999
496,Data 7 Analytica,Cientista de Dados,11 Jul 2020,Nicole Watkins,,
497,Studos,Python/R Developer,11 Jul 2020,Kathleen Pearson,37.049497,-95.65024419999999
498,Control iD,Analista de Integração Pleno,11 Jul 2020,Caitlin Miller,47.70813769999999,-117.0278781
499,Allianz Brasil,Estatístico Sr,11 Jul 2020,Mallory Bell,33.8456761,-84.35942159999999
500,MI4U,Sócio | CTO,10 Jul 2020,Laura Rogers,,
501,MachLab,Co Founder | Professional Data,10 Jul 2020,Amanda Campos,41.6594594,-91.5479919
502,DP Content,Conteudista em Ciência da Computação,10 Jul 2020,Anthony English,32.5303467,-92.6450626
503,Olist,Senior Data Specialist,10 Jul 2020,Samuel Anthony,-25.4305857,-49.2920362
504,Serasa,DataOps Team Leader,09 Jul 2020,Kelly Hamilton,41.2674809,-96.0519576
505,Cred Center ,CredCenter ,09 Jul 2020,Alexandria Wright,39.8981232,-80.1862536
506,Caltra Projetos e Consultoria,Desenhista Mecânico,09 Jul 2020,Rachel Owen,-19.92147,-43.9945598
507,ClearSale,Analista de Inteligência,09 Jul 2020,Kiara Oneill,25.84231,-80.184764
508,IWM India Pvt Ltd,Business Development Associate,09 Jul 2020,Kimberly Love,28.620388,77.3884829
509,Nestlé,Internal Control and Compliance Analyst,08 Jul 2020,Kerry Jones,35.8197341,-90.5795421
